merchant_website_id,merchant_id,merchant_website_url,is_default,is_active,created_by,updated_by,created_at,updated_at,sort_updated_at
62789da5-3224-4f46-a0e6-4ebef4d4287c,59988dae-0d6e-4835-ad57-6454564e531c,http://www.groviapartners.com,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,f2d8afd8-7de6-4858-8b5c-db12fb02072b,2020-12-18 17:59:23+00,2020-12-18 17:59:23+00,2020-12-18 17:59:23+00
45938e82-6dc2-4475-8de1-e6155e53ba47,636f0ba5-376b-4dba-a3bd-dac6e3f8ea8f,http://www.sheltahats.com,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,c13183db-cb51-436d-b5cd-203d202c6769,2021-01-26 23:54:52+00,2021-09-02 22:04:01+00,2021-09-02 22:04:01+00
987e7dcb-155e-42df-b1b0-873873c6bfaa,d2500f0e-f98d-4f61-8f73-51905662e87c,http://www.hectorandlola.com,true,true,,88658cc1-993d-477e-9028-062a6c3b3d9c,2018-04-25 17:24:14+00,2020-10-30 15:41:29+00,2020-10-30 15:41:29+00
c88d10f8-c207-4e68-a5a0-ebce12360136,8d686f31-ff28-43df-a644-41dc81059c73,https://shop.casiomusicgear.com,false,false,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-01-04 23:04:06+00,2021-01-05 22:15:11+00,2021-01-05 22:15:11+00
a386ebb3-8bd7-4743-bf10-54ca790444b0,2337960b-16b8-4fd6-9ff0-95ef4f94e16f,http://www.doprotein.ca,true,true,,3e76c175-b5cb-4acc-9910-74fd7f82cc1d,2018-04-25 17:24:14+00,2021-01-18 18:12:53+00,2021-01-18 18:12:53+00
59eaa15a-0c39-444a-a044-993613f18c9f,dd4ce6cd-bc7d-4c41-89cc-aa6ca27c7547,https://filmora.wondershare.com/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-03-19 20:15:10+00,2021-03-19 20:15:10+00,2021-03-19 20:15:10+00
aa5e3eca-cd63-4d74-841a-b8835d7520e1,bf9c956a-1966-41e8-9100-f88392eaec33,https://store.trxtraining.com/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-03-25 15:37:21+00,2021-03-25 15:37:21+00,2021-03-25 15:37:21+00
72bb5fe9-2b52-47bb-88ea-62498ccaae0a,1a5f5cfd-18f2-46d0-8e07-484e58a9fed3,https://checkout.levelfoods.com,false,true,c13183db-cb51-436d-b5cd-203d202c6769,c13183db-cb51-436d-b5cd-203d202c6769,2021-03-30 22:32:00+00,2021-03-30 22:32:00+00,2021-03-30 22:32:00+00
2f0def93-6243-4e9d-b2eb-2a25bdf2d8a1,22e49ce7-fac1-48eb-9aab-1fa7dc21e9c9,https://mobiletrans.wondershare.com,false,false,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-04-07 21:46:18+00,2021-04-07 21:48:08+00,2021-04-07 21:48:08+00
b1e94cc8-c56c-428f-a35f-a508e4783808,582103ad-d5d9-466f-88a0-ba386d6f1ddf,https://g-sight.com/,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2020-02-27 22:29:58+00,2022-03-09 19:59:47+00,2022-03-09 19:59:47+00
e32e7913-4e74-4ce1-abdf-d00940e3aea1,64180ab8-ae04-448a-9d4b-91b4cbd2d9c6,http://www.shoprootsandbloom.com,true,true,100681b2-eac9-4e16-bcfe-aab26842181a,100681b2-eac9-4e16-bcfe-aab26842181a,2021-06-16 20:26:51+00,2021-06-16 20:26:51+00,2021-06-16 20:26:51+00
0ed13d53-acb5-4b39-962e-26652f407ffd,5bcf4102-fa25-4ee4-89f5-a22344aa47fe,https://www.verticallstore.com/,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2020-05-11 16:49:32+00,2021-08-05 16:10:29+00,2021-08-05 16:10:29+00
776f0161-1c11-4821-9aac-5aa137fe0bea,b41d6d23-8b25-4a1c-af88-6948785e9a46,https://happyhippoherbals.myshopify.com/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-07-13 22:00:28+00,2021-07-13 22:00:28+00,2021-07-13 22:00:28+00
a24cb4fe-5b8f-496b-ac1b-729c0347b6e3,46710110-e2e9-400c-8da4-df585567bab6,https://www.rossignol.com/ca/,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,f2d8afd8-7de6-4858-8b5c-db12fb02072b,2021-05-19 16:46:04+00,2021-05-19 16:46:04+00,2021-05-19 16:46:04+00
1e262ab1-addb-47fb-b651-309f17d16898,08ed21bf-69d0-4873-b2b6-88a2b8930ec3,http://banyanupgrade.uldev.co/,false,false,,,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00
f7acb21b-3ed7-4956-8254-66541cd57846,1cc84214-938b-4b2d-a303-383f2f3d77d0,https://nomadoutdoor.com/,true,true,e50a6930-3275-4740-9040-f78e83bcc7c6,e50a6930-3275-4740-9040-f78e83bcc7c6,2021-06-04 14:58:14+00,2021-06-04 14:58:21+00,2021-06-04 14:58:21+00
97a9ad01-b4f5-4a5b-a43f-b3a3d7cc4961,afe8bd99-e90c-4164-980d-557c3ec1430f,https://tuf-line.com/,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,4b4880f5-cf94-4160-9680-be2265aa09b2,2021-04-05 21:20:39+00,2021-06-09 19:21:06+00,2021-06-09 19:21:06+00
